STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT13,WT16,WT19
USW00013958,"AUSTIN CAMP MABRY, TX US",8/1/13,0,0,0,,103,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/2/13,0,0,0,,102,78,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/3/13,0,0,0,,102,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/4/13,0,0,0,,101,78,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/5/13,0,0,0,,104,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/6/13,0,0,0,,105,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/7/13,0,0,0,,106,79,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/8/13,0,0,0,,105,78,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/9/13,0,0,0,,104,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/10/13,0,0,0,,106,77,,,1,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/11/13,0,0,0,,101,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/12/13,0,0,0,,101,75,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/13/13,0,0,0,,103,78,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/14/13,0,0,0,,107,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/15/13,0.18,0,0,,97,74,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/16/13,0,0,0,,97,73,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/17/13,0,0,0,,96,73,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/18/13,0,0,0,,98,69,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/19/13,0,0,0,,98,72,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/20/13,0,0,0,,99,72,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/21/13,0,0,0,,99,74,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/22/13,0,0,0,,100,75,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/23/13,0,0,0,,101,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/24/13,0,0,0,,101,78,,,1,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/25/13,0,0,0,,97,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/26/13,0,0,0,,92,74,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/27/13,0.09,0,0,,88,74,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/28/13,0,0,0,,99,73,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/29/13,0,0,0,,102,75,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/30/13,0,0,0,,105,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",8/31/13,0,0,0,,104,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",9/1/13,0,0,0,,103,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",9/2/13,0,0,0,,103,77,,,1,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",9/3/13,0,0,0,,104,75,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",9/4/13,0.1,0,0,,102,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",9/5/13,0,0,0,,99,74,,,1,,,,,,,
